Country,Year,total_pollutant,total_waste
Austria,2007,3748543352.40,209321499.48
Austria,2008,4336793752.50,240789602.08
Austria,2009,17557514006.60,284621536.50
Austria,2010,3442818281.63,402369569.12
Austria,2011,3700248247.25,392605796.10
Austria,2012,3692395563.88,396809329.02
Austria,2013,4092967788.00,351179458.76
Austria,2014,4102521441.62,358399480.91
Austria,2015,3718512375.26,392482660.08
Austria,2016,3983265231.94,415013078.00
Austria,2017,2493921216.60,234831171.06
Austria,2018,3649344432.02,337077718.50
Austria,2019,3912506023.08,278368797.59
Austria,2020,1417941025.23,121995861.10
Belgium,2007,1535539131.10,822908840.60
Belgium,2008,2243764585.26,847528522.92
Belgium,2009,2194122323.68,784559623.68
Belgium,2010,2158884016.60,1218553382.57
Belgium,2011,2307570672.00,894126601.77
Belgium,2012,1250598386.00,652431138.42
Belgium,2013,1899703983.72,614808152.98
Belgium,2014,1246278594.08,594095542.36
Belgium,2015,2437108285.60,784584249.77
Belgium,2016,2050191419.11,925129546.38
Belgium,2017,1702539877.50,1156145369.55
Belgium,2018,2046559750.29,1652423744.40
Belgium,2019,2298759802.02,1003346916.00
Belgium,2020,2629956388.00,817229717.50
Bulgaria,2007,126051633.10,228414576.60
Bulgaria,2008,126326443.40,147761189.46
Bulgaria,2009,210759843.40,85146118.16
Bulgaria,2010,536808590.50,261435954.78
Bulgaria,2011,386944635.62,523088096.85
Bulgaria,2012,232430125.10,302982583.05
Bulgaria,2013,275414873.40,268107418.54
Bulgaria,2014,245168577.92,373680347.25
Bulgaria,2015,216031452.12,288103193.40
Bulgaria,2016,209323108.15,298521940.80
Bulgaria,2017,169055587.24,255100255.00
Bulgaria,2018,168954916.41,258912456.00
Bulgaria,2019,191124640.00,204559493.00
Bulgaria,2020,272359847.00,212174976.00
Croatia,2014,451461.90,1162339.60
Croatia,2015,685.30,1060140.55
Croatia,2016,1399654.41,2647089.84
Croatia,2017,13373380.30,4350090.55
Croatia,2018,818654.20,4321504.35
Croatia,2019,814646.25,5693758.40
Croatia,2020,830708.00,5643843.24
Cyprus,2007,3891303.00,54713.16
Cyprus,2008,2350593.00,72310.40
Cyprus,2009,1845.30,41653.80
Cyprus,2010,2660414.12,98126.48
Cyprus,2011,341.00,26636.82
Cyprus,2012,40233641.70,138858.45
Cyprus,2013,39137302.40,157595.52
Cyprus,2014,43659150.00,105635.28
Cyprus,2015,43481890.40,339903.08
Cyprus,2016,34586396.90,251913.12
Cyprus,2017,43260076.80,325175.52
Cyprus,2018,25876681.20,521520.72
Cyprus,2019,39474360.00,321405.48
Czechia,2007,4652775436.70,340895670.14
Czechia,2008,4730171372.70,360280865.70
Czechia,2009,3962571264.08,363073113.60
Czechia,2010,5046301958.88,318812271.69
Czechia,2011,4901408830.63,318937876.56
Czechia,2012,4812218358.95,268132905.60
Czechia,2013,7466132725.22,330200929.13
Czechia,2014,7737367919.94,372177546.12
Czechia,2015,9142207600.44,393537763.80
Czechia,2016,10323362156.58,387963246.38
Czechia,2017,9134860544.10,331440823.56
Czechia,2018,10738314919.50,875143733.00
Czechia,2019,11280479990.02,461598983.58
Czechia,2020,10581159785.56,475395825.60
Denmark,2007,2555918343.96,139304400.00
Denmark,2008,2339175462.72,137358097.80
Denmark,2009,1626270634.24,115591940.97
Denmark,2010,1021531832.40,97009440.21
Denmark,2011,926574543.60,142795768.87
Denmark,2012,1407241245.40,107941117.43
Denmark,2013,1730578516.00,83351897.20
Denmark,2014,2950399080.20,97534783.36
Denmark,2015,1565751536.30,101179617.00
Denmark,2016,1513981605.12,112400707.52
Denmark,2017,1204776999.58,46156617.92
Denmark,2018,1168878027.60,322476310.26
Denmark,2019,1788042330.36,348118632.81
Estonia,2007,6290000.00,2039173.33
Estonia,2008,13464000.00,4220131.24
Estonia,2018,131548408.00,36039152.38
Estonia,2019,132490121.70,31680207.26
Estonia,2020,132471161.18,36287493.58
Finland,2007,1442894462.46,630377270.64
Finland,2008,2600744968.00,632647853.60
Finland,2009,1601122770.84,495873862.40
Finland,2010,1464521299.92,543136932.24
Finland,2011,1488845013.00,501280765.98
Finland,2012,1468406499.60,472110418.02
Finland,2013,1669364177.04,408069137.25
Finland,2014,1592066525.03,375021506.77
Finland,2015,1593544125.90,350128501.80
Finland,2016,1570089935.64,353504571.93
Finland,2017,2049596732.70,479075708.46
Finland,2018,1445396690.56,416346427.98
Finland,2019,1462837083.48,448361849.88
Finland,2020,1379008686.64,436668598.96
France,2007,30622838493.45,1989520189.29
France,2008,21464672347.68,3685852132.38
France,2009,12518942554.69,2891753947.62
France,2010,13512030178.20,4428264635.82
France,2011,12721435282.96,3457254579.20
France,2012,12503131409.70,4909018706.34
France,2013,14610641135.16,4345939343.98
France,2014,15554990804.94,4901052859.20
France,2015,15577775367.06,4384985620.33
France,2016,13526466813.00,3606050937.45
France,2017,15390052135.74,6273942768.66
France,2018,19694215000.32,6835666581.08
France,2019,5980957015.00,2928179432.20
France,2020,6279983881.60,3389234768.04
Germany,2007,129672998455.80,28889234510.89
Germany,2008,109998650467.15,28211186966.46
Germany,2009,97564890080.06,26167071704.34
Germany,2010,132155605035.00,31192278817.28
Germany,2011,146706292578.38,32800843923.28
Germany,2012,148713519045.52,32488513261.21
Germany,2013,148488947523.12,33811274771.25
Germany,2014,156961930751.01,35095614578.43
Germany,2015,158258902457.04,34656096821.51
Germany,2016,180160971588.76,34414569982.56
Germany,2017,181190123775.50,37346600126.00
Greece,2007,19055214.00,14143789.35
Greece,2008,16709790.00,12140086.48
Greece,2013,34548529.70,15463592.62
Greece,2014,34677688.70,17340579.41
Greece,2015,38930578.00,16275389.06
Greece,2016,13029217.10,12117769.50
Greece,2017,13997557.00,15663545.28
Greece,2018,51164354.32,6231754.48
Greece,2019,12197810.10,5587244.58
Greece,2020,24168256.04,8809245.44
Hungary,2007,522355986.00,34852475.58
Hungary,2008,386535300.50,70288362.04
Hungary,2009,324121028.85,25328757.61
Hungary,2010,308199471.66,54817314.64
Hungary,2011,343483910.00,41695366.80
Hungary,2012,397645866.00,26318522.60
Hungary,2013,13010151312.90,36008053.49
Hungary,2014,253502003.30,100168054.38
Hungary,2015,345336973.80,66841545.40
Hungary,2016,573975206.98,195271275.78
Hungary,2017,231517814.77,145137527.57
Hungary,2018,378638850.72,169327891.60
Hungary,2019,664887951.00,123785824.75
Hungary,2020,726174555.48,111164924.92
Ireland,2007,302478274.00,99561978.62
Ireland,2008,243597602.55,111309814.20
Ireland,2009,474724145.70,109775759.34
Ireland,2010,245102541.46,108775126.50
Ireland,2011,511428011.81,110267034.70
Ireland,2012,480416402.74,111958813.20
Ireland,2013,563225070.72,100639698.38
Ireland,2014,629990820.94,122342845.56
Ireland,2015,796402803.32,157208255.16
Ireland,2016,877916560.86,174529239.28
Ireland,2017,914576495.04,182009116.54
Ireland,2018,1092917164.77,188473581.12
Ireland,2019,924185812.44,186930170.10
Ireland,2020,802400494.35,204006126.08
Italy,2007,82797201511.00,7551622168.82
Italy,2008,19941426385.47,8369909173.08
Italy,2009,15668928541.80,6852111579.18
Italy,2010,15653165515.02,8656437555.40
Italy,2011,21439151401.78,8413092600.76
Italy,2012,21612956410.98,14088518900.82
Italy,2013,51850860214.40,9206952837.50
Italy,2014,45535506290.56,9226258940.40
Italy,2015,13870420157.30,35133034109.25
Italy,2016,14155280386.02,9086463887.36
Italy,2017,37039624851.78,16563211084.65
Italy,2018,1899876643292.07,16294781367.81
Italy,2019,20076774941.84,11977288219.36
Lithuania,2007,587400.00,212666.77
Lithuania,2008,813780.00,355772.56
Lithuania,2009,766920.00,291300.90
Lithuania,2010,736500.00,256316.03
Lithuania,2012,130200000.00,146041.32
Lithuania,2013,163758660.00,259907.26
Lithuania,2014,7648000.00,496194.20
Lithuania,2015,1425278.00,478758.24
Lithuania,2016,1760766.00,772493.55
Lithuania,2017,2185092.00,484899.63
