country_name,eprtrSectorName,reportingYear,total_waste
Austria,"Energy sector",2007,55554.29
Austria,"Chemical industry",2007,124939.19
Austria,"Production and processing of metals",2007,226393.45
Austria,"Waste and wastewater management",2007,1852365.40
Austria,"Mineral industry",2007,9963.24
Austria,"Paper and wood production and processing",2007,618066.19
Austria,"Animal and vegetable products from the food and beverage sector",2007,90192.68
Austria,"Other activities",2007,56170.48
Austria,"Paper and wood production and processing",2008,541862.77
Austria,"Production and processing of metals",2008,257797.95
Austria,"Animal and vegetable products from the food and beverage sector",2008,103994.34
Austria,"Mineral industry",2008,20626.56
Austria,"Chemical industry",2008,146584.76
Austria,"Other activities",2008,19215.55
Austria,"Waste and wastewater management",2008,2346709.79
Austria,"Energy sector",2008,104231.84
Austria,"Waste and wastewater management",2009,2535374.30
Austria,"Energy sector",2009,221785.23
Austria,"Production and processing of metals",2009,228428.59
Austria,"Chemical industry",2009,109513.69
Austria,"Paper and wood production and processing",2009,510935.96
Austria,"Animal and vegetable products from the food and beverage sector",2009,133438.18
Austria,"Other activities",2009,31408.00
Austria,"Mineral industry",2009,24069.87
Austria,"Production and processing of metals",2010,276075.80
Austria,"Mineral industry",2010,4456.59
Austria,"Animal and vegetable products from the food and beverage sector",2010,112522.43
Austria,"Other activities",2010,40005.28
Austria,"Chemical industry",2010,127474.95
Austria,"Energy sector",2010,94628.83
Austria,"Paper and wood production and processing",2010,716216.95
Austria,"Waste and wastewater management",2010,2612476.29
Austria,"Animal and vegetable products from the food and beverage sector",2011,106702.19
Austria,"Mineral industry",2011,4906.30
Austria,"Waste and wastewater management",2011,3016581.64
Austria,"Production and processing of metals",2011,342461.04
Austria,"Energy sector",2011,89655.30
Austria,"Other activities",2011,36326.80
Austria,"Chemical industry",2011,138469.27
Austria,"Paper and wood production and processing",2011,777607.76
Austria,"Energy sector",2012,114499.54
Austria,"Mineral industry",2012,6227.84
Austria,"Waste and wastewater management",2012,2221009.27
Austria,"Animal and vegetable products from the food and beverage sector",2012,109168.50
Austria,"Chemical industry",2012,1809132.43
Austria,"Paper and wood production and processing",2012,696611.20
Austria,"Production and processing of metals",2012,367080.15
Austria,"Other activities",2012,38559.30
Austria,"Production and processing of metals",2013,471391.14
Austria,"Chemical industry",2013,116140.82
Austria,"Paper and wood production and processing",2013,705841.72
Austria,"Mineral industry",2013,29615.33
Austria,"Animal and vegetable products from the food and beverage sector",2013,105340.35
Austria,"Other activities",2013,34068.80
Austria,"Energy sector",2013,124962.91
Austria,"Waste and wastewater management",2013,2229806.96
Austria,"Energy sector",2014,44121.39
Austria,"Waste and wastewater management",2014,2512515.05
Austria,"Production and processing of metals",2014,1000017.16
Austria,"Mineral industry",2014,4746.34
Austria,"Paper and wood production and processing",2014,713390.08
Austria,"Animal and vegetable products from the food and beverage sector",2014,119660.73
Austria,"Other activities",2014,37357.52
Austria,"Chemical industry",2014,104894.02
Austria,"Mineral industry",2015,26699.99
Austria,"Production and processing of metals",2015,1119841.66
Austria,"Waste and wastewater management",2015,2515087.78
Austria,"Paper and wood production and processing",2015,665486.03
Austria,"Animal and vegetable products from the food and beverage sector",2015,132311.74
Austria,"Other activities",2015,35073.22
Austria,"Energy sector",2015,55831.23
Austria,"Chemical industry",2015,122080.97
Austria,"Chemical industry",2016,106917.56
Austria,"Production and processing of metals",2016,1198134.82
Austria,"Paper and wood production and processing",2016,662126.38
Austria,"Animal and vegetable products from the food and beverage sector",2016,121096.18
Austria,"Mineral industry",2016,9733.60
Austria,"Other activities",2016,41359.91
Austria,"Energy sector",2016,120862.66
Austria,"Waste and wastewater management",2016,2622275.69
Austria,"Production and processing of metals",2017,305235.14
Austria,"Mineral industry",2017,16370.99
Austria,"Chemical industry",2017,111099.52
Austria,"Waste and wastewater management",2017,2309240.24
Austria,"Energy sector",2017,15136.02
Austria,"Animal and vegetable products from the food and beverage sector",2017,123216.02
Austria,"Other activities",2017,502373.64
Austria,"Paper and wood production and processing",2017,597517.77
Austria,"Chemical industry",2018,131774.24
Austria,"Waste and wastewater management",2018,2545032.26
Austria,"Energy sector",2018,88100.53
Austria,"Production and processing of metals",2018,1207116.04
Austria,"Paper and wood production and processing",2018,576552.91
Austria,"Animal and vegetable products from the food and beverage sector",2018,154238.71
Austria,"Mineral industry",2018,15951.24
Austria,"Other activities",2018,28807.57
Austria,"Chemical industry",2019,130800.90
